PMID	text	Categories
32456489	objective add growing evidence sars-cov-2 infection pregnancy better inform clinical decision making optimize patient outcome systematic search relevant database perfomed march repeat search april report pregnant patient sars-cov-2 infection time pregnancy reviewed summarized summarized outcome total pregnant woman neonate evidence suggests similar rate severe covid-19 case pregnant woman general population frequency cesarean delivery high guideline recommendation limited data covid-19 preganacy associated wide variation methodology make accurate data interpretation difficult	Treatment
32456404	introduction since december outbreak novel beta-coronavirus sars-cov-2 wuhan china march 11th world health organization declared covid-19 pandemic case country around world response global coronavirus disease covid-19 emergency clinical trial research assessing efficacy safety experimental vaccine prevent covid-19 emerging unprecedented rate aim systematic review summarize preliminary experience ongoing clinical trial major candidate challenge vaccine strategy human evidence acquisition priori protocol registration prospero systematic research published literature conducted april using medline via pubmed embase via ovid database moreover explore recent literature also searched preprint server medrxiv finally scrutinized cochrane covid-19 study register covid-19 section clinicaltrialsgov database identifying relevant ongoing clinical trial thereafter selected article according prisma guideline animal in-vitro experimental study excluded moreover editorial commentary abstract review book chapter article english included evidence synthesis search identified published paper pre-print article ongoing clinical trial finally ten ongoing clinical trial met inclusion criterion specifically seven developed vaccine protein sars-cov-2 three clinical trial assessed protective role bcg vaccine covid-19 first group included phase ii trial different type molecule dna mrna vaccine bacterial plasmid viral vector latter phase iii iv trial designed basis heterologous lymphocyte activation bcg vaccine conclusion new disease pushing scientific community develop swiftly safe effective vaccine notwithstanding limitation analysis given absence available try provide comprehensive view ongoing clinical trial human analysis reveals worldwide effort scientist enterprise achieve one challenging goal century	Treatment
32456286	feline infectious peritonitis fip viral disease high morbidity mortality fip virus fipv virulent feline coronavirus several antiviral drug fip identified many expensive available veterinary medicine hydroxychloroquine hcq drug approved several country treat malaria immune-mediated disease human antiviral effect viral infection eg sars-cov-2 dengue virus confirmed investigated whether hcq association interferon-omega ifn-omega effective fipv vitro total mum hcq significantly inhibited replication type ii fipv interestingly combination mum hcq ml recombinant feline ifn-omega rfifn-omega veterinary registered drug increased antiviral activity type fipv infection study suggested hcq rfifn-omega applicable treatment fip clinical study needed verify combination hcq rifn-omega effective safe treatment cat fip	Treatment
32456123	coronavirus disease covid-19 pandemic caused worldwide outbreak respiratory illness review aim evaluate effectiveness adverse event herbal medicine treatment covid-19 twelve database searched may randomized controlled trial rcts quasi-rcts assessing effect herbal medicine treatment covid-19 eligible study selection data extraction performed two independent reviewer cochrane risk bias tool used assessment risk bias included rcts mean difference md risk ratio rrs odds ratio or confidence interval ci calculated effect size study pooled seven rcts total patient included included trial compared combined therapy herbal medicine western medicine western medicine alone combined therapy significantly improved total effective rate rr ci cough symptom disappearance rate rr ci sputum production symptom disappearance rate rr ci beneficial effect combined therapy also seen tcm syndrome score cough md -118 ci -134 -103 fever md -062 ci -079 -045 dry sore throat md -083 ci -145 -020 fatigue md -060 ci -104 -017 overall risk bias included study unclear serious adverse event reported significant effect combined therapy herbal medicine western medicine found revealed potential role herbal medicine treating covid-19 high-quality rcts needed validate effectiveness adverse event herbal medicine treatment covid-19	Treatment
32456064	patient diabetes reported enhanced susceptibility severe fatal covid-19 infection including high risk admitted intensive care unit respiratory failure septic complication given global prevalence diabetes affecting million people worldwide still rise emerging covid-19 crisis pose serious threat extremely large vulnerable population however broad heterogeneity complexity dysmetabolic condition reference etiologic mechanism degree glycemic derangement comorbid association along extensive sexual dimorphism immune response hamper patient generalization even relevant irrespective glucose-lowering activity dpp4 inhibitor glp1 receptor agonist may favorable impact modulation viral entry overproduction inflammatory cytokine covid-19 infection although current evidence limited univocal conversely sglt2 inhibitor may increase likelihood covid-19-related ketoacidosis decompensation among patient severe insulin deficiency mindful widespread popularity management diabetes addressing potential benefit harm novel antidiabetic drug clinical prognosis time covid-19 pandemic deserves careful consideration	Treatment
32455942	processing certain viral protein bacterial toxin host serine protease frequent critical step virulence coronavirus spike glycoprotein contains three s1 s2 s2' cleavage site processed human host protease exact nature cleavage site respective processing protease determine whether virus cross specie level pathogenicity recent comparison genome highly pathogenic sars-cov2 mers-cov le pathogenic strain eg bat-ratg13 bat homologue sars-cov2 identified possible mutation receptor binding domain s1 s2' cleavage site spike glycoprotein however remains confusion relative role possible serine protease involved priming using anthrax toxin model system show vivo inhibition priming pan-active serine protease inhibitor effective suppressing toxicity hence study encourage effort developing either pan-serine protease inhibitor inhibitor cocktail target sars-cov2 potentially ward future pandemic could develop additional mutation s-protein priming sequence coronaviruses	Treatment
32455629	gene required sars-cov-2 entry human cell ace2 furin employed bait build genomic-guided molecular map upstream regulatory element expression function human body pathophysiologically relevant cell type repressor activator ace2 furin gene identified based analysis gene silencing overexpression experiment well relevant transgenic mouse model panel repressor vdr gata5 sftpc hif1a activator hmga2 insig1 runx1 hnf4a jnk1 c-fos employed identify existing drug manifesting effect gene expression signature potential coronavirus infection mitigation agent using strategy vitamin quercetin identified putative coronavirus disease covid-19 mitigation agent quercetin identified one top-scoring candidate therapeutic supercomputer summit drug-docking screen gene set enrichment analysis gsea expression profiling experiment epes indicating highly structurally similar quercetin luteolin eriodictyol could serve scaffold development efficient inhibitor sars-cov-2 infection agreement notion quercetin alters expression human gene encoding protein target sars-cov-2 thus potentially interfering function sars-cov-2 viral protein human cell similarly vitamin may interfere function sars-cov-2 protein altering expression human gene encoding protein target sars-cov-2 considering potential effect quercetin vitamin inference could made function sars-cov-2 protein human cell may altered gsea epes identify multiple drug smoking many disease condition appear act putative coronavirus infection-promoting agent discordant pattern testosterone versus estradiol impact sars-cov-2 target suggest plausible molecular explanation apparently higher male mortality coronavirus pandemic estradiol contrast testosterone affect expression majority human gene encoding sars-cov-2 target thus potentially interfering function sars-cov-2 viral protein hypothetical tripartite combination consisting quercetin vitamin estradiol may affect expression human gene encoding sars-cov-2 target major concern ace2 furin expression many human cell tissue including immune cell suggesting sars-cov-2 may infect broad range cellular target human body infection immune cell may cause immunosuppression long-term persistence virus spread virus secondary target present analysis numerous observational study indicate age-associated vitamin deficiency may contribute high mortality older adult elderly immediate availability targeted experimental clinical interrogation potential covid-19 pandemic mitigation agent namely vitamin quercetin well highly selective ki pm intrinsically specific furin inhibitor a1-antitrypsin portland a1-pdx considered encouraging factor observation reported contribution intended facilitate follow-up targeted experimental study warranted randomized clinical trial identify validate therapeutically viable intervention combat covid-19 pandemic specifically gene expression profile vitamin quercetin activity established safety record over-the-counter medicinal substance strongly argue may represent viable candidate consideration potential utility covid-19 pandemic mitigation agent line present analysis randomized interventional clinical trial evaluating effect estradiol severity coronavirus infection covid19 presumptive covid19 patient two interventional randomized clinical trial evaluating effect vitamin prevention treatment covid-19 listed clinicaltrialsgov website	Treatment
32455534	rapid outbreak novel severe acute respiratory syndrome coronavirus sars-cov-2 china followed spread around world pose serious global concern public health date specific drug vaccine available treat sars-cov-2 despite close relation sars-cov virus caused similar epidemic thus remains urgent need identification development specific antiviral therapeutic sars-cov-2 conquer viral infection inhibition protease essential proteolytic processing viral polyproteins conventional therapeutic strategy order find novel inhibitor computationally screened compound library million compound binding recently solved crystal structure main protease mpro sars-cov-2 screening vast chemical space sars-cov-2 mpro inhibitor reported shape screening two docking protocol applied followed determination molecular descriptor relevant pharmacokinetics narrow number initial hit next molecular dynamic simulation conducted validate stability docked binding mode comprehensively quantify ligand binding energy evaluation potential off-target binding report list purchasable compound binding affinity target protease predicted favorable cocrystallized peptidomimetic compound order quickly advise ongoing therapeutic intervention patient evaluated approved antiviral drug protease inhibitor provide list nine compound drug repurposing furthermore identified natural compound --taxifolin rhamnetin potential inhibitor mpro rhamnetin already commercially available pharmacy	Treatment
32455515	objective analyse clinical history laboratory test pathological data patient suffered novel coronavirus pneumoniacovid-19 provide reference clinical treatment similar case data clinical manifestation laboratory examination bronchoscopy echocardiography cardiopulmonary pathological retrospectively reviewed case covid-19 rapid exacerbation mild critical condition patient hospitalized day post novel coronavirus2019-ncov infection experienced progressive deterioration mild severe day severe critical day underwent extracorporeal membrane oxygenationecmo continuous renal replacement therapycrrt well heart lung transplantation day day post infection died second day post heart lung transplantation patient suffered hypertension year early stage disease symptom mild inflammatory index increased lymphocyte count decreased continuously patient's condition exacerbated rapidly multi-organ infection eventually developed pulmonary hemorrhage consolidation pulmonary hypertension right heart failure malignant ventricular arrhythmia liver dysfunction etc clinical manifestation could improved despite viral rna test became negative patient underwent lung heart transplantation finally died multi organ failure second day post lung heart transplantation pathological examination indicated massive mucus dark red secretion blood clot bronchus pathological change mainly diffused pulmonary hemorrhagic injury necrosis fibrosis small vessel disease cardiac edema lymphocyte infiltration conclusion clinical course covid-19 exacerbate rapidly mild critical lung liver heart injury steadily increased inflammation index suggestive irreversible disease progression worse outcome early stage disease progress disease closely observed evaluated factor related progress disease identified managed	Treatment
32454983	coronavirus causing shortage critical inhaler needed patient asthma respiratory illness patient asthma higher risk tract novel coronavirus coronavirus continues spread hospital turning use salbutamol mdi salbutamol mdi become line defence physician emergency room treating patient corona virus disease covid-19 respiratory distress hui et al center drug evaluation research covid pandemic drastic increase use mdi inhaler therefore led decrease availability break supply chain patient asthma higher risk tract novel coronavirus inhaler could life death coronavirus continues spread hospital turning use salbutamol metered dose inhaler mdi salbutamol mdi short supply covid-19 continues spread salbutamol mdi become line defence physician emergency room treating patient covid-19 respiratory distress current shortage salbutamol mdi could result stockpiling hoarding life-saving inhaler led critical shortage salbutamol mdi even case shortage continues alternative ipratropium mdi even long-acting b-agonists salmeterol formoterol also starting limitation ordering agent coronavirus spark fear medication shortage coronavirus panic-buying also may led shortage critical inhaler also got elderly patient copd may need ventolin mdi also premature baby may caught respiratory syncytial virus rsv need salbutamol mdi support lung since compromised rely heavily asthma inhaler finding safe creative strategy essential covid-19 pandemic	Treatment
