# ===========================================================================
#
#                            PUBLIC DOMAIN NOTICE
#               National Center for Biotechnology Information
#
#  This software/database is a "United States Government Work" under the
#  terms of the United States Copyright Act.  It was written as part of
#  the author's official duties as a United States Government employee and
#  thus cannot be copyrighted.  This software/database is freely available
#  to the public for use. The National Library of Medicine and the U.S.
#  Government have not placed any restriction on its use or reproduction.
#
#  Although all reasonable efforts have been taken to ensure the accuracy
#  and reliability of the software and data, the NLM and the U.S.
#  Government do not and cannot warrant the performance or results that
#  may be obtained by using this software or data. The NLM and the U.S.
#  Government disclaim all warranties, express or implied, including
#  warranties of performance, merchantability or fitness for any particular
#  purpose.
#
#  For daily update, we screen the search results of this PubMed query:
#  "coronavirus"[All Fields] OR "ncov"[All Fields] OR "cov"[All Fields] OR
#  "2019-nCoV"[All Fields] OR "COVID-19"[All Fields] OR "SARS-CoV-2"[All Fields].
#  Relevant articles are identified and curated with assistance from an automated
#  machine-learning and text-classification algorithm.
#
#  Please cite the authors in any work or product based on this material :
#
#  Chen Q, Allot A, & Lu Z. (2020) Keep up with the latest coronavirus research, Nature 579:193
#
# ==========================================================================
pmid	title	journal
32505080	A case of COVID-19 pneumonia with cerebral hemorrhage.	Thromb Res
32505076	Covid-19 and lung cancer: A greater fatality rate?	Lung Cancer
32505075	Fighting against frailty and sarcopenia - As well as COVID-19?	Med Hypotheses
32505074	The use of aspirated consonants during speech may increase the transmission of COVID-19.	Med Hypotheses
32505073	Oral cancer and periodontal disease increase the risk of COVID 19? A mechanism mediated through furin and cathepsin overexpression.	Med Hypotheses
32505072	COVID-19 and picotechnology: Potential opportunities.	Med Hypotheses
32505071	SARS-CoV-2 and prostatitis: Dangerous relationship for male sexual and reproductive health.	Med Hypotheses
32505070	Nebulized Lidocaine in COVID-19, An Hypothesis.	Med Hypotheses
32505069	Hydrogen peroxide and viral infections: A literature review with research hypothesis definition in relation to the current covid-19 pandemic.	Med Hypotheses
32505068	COVID-19 infection: Is the outcome time-dependent?	Med Hypotheses
32505067	Could autism spectrum disorders be a risk factor for COVID-19?	Med Hypotheses
32505066	COVID-19: Loss of bridging between innate and adaptive immunity?	Med Hypotheses
32505040	The end of 'cordon sanitaire' in Wuhan: the role of non-pharmaceutical interventions against COVID-19.	Public Health
32505030	Suicidal ideation during the COVID-19 pandemic: The role of insomnia.	Psychiatry Res
32505009	ADAMTS13 activity, von Willebrand factor, factor VIII and D-dimers in COVID-19 inpatients.	Thromb Res
32504992	COVID-19 pandemic and challenges for socio-economic issues, healthcare and National Health Programs in India.	Diabetes Metab Syndr
32504982	Paediatric aspects of COVID-19: An update.	Respir Med Res
32504979	Drop in urban air pollution from COVID-19 pandemic: Policy implications for the megacity of Sao Paulo.	Environ Pollut
32504968	Medical education in the COVID-19 era: Impact on anesthesiology trainees.	J Clin Anesth
32504967	Novel method of performing brachial plexus block using an aerosol box during COVID-19 pandemic.	J Clin Anesth
32504965	Management of maternal resuscitation and category 1 cesarean delivery in a Covid-19 suspect parturient.	J Clin Anesth
32504964	Anesthesia and infection control in cesarean section of pregnant women with COVID-19 infection: A descriptive study.	J Clin Anesth
32504963	Cardiac arrest during emergency intubation in an elderly patient with confirmed coronavirus disease 2019.	J Clin Anesth
32504946	Validation and verification of the Abbott RealTime SARS-CoV-2 assay analytical and clinical performance.	J Clin Virol
32504945	Alltest rapid lateral flow immunoassays is reliable in diagnosing SARS-CoV-2 infection from 14 days after symptom onset: A prospective single-center study.	J Clin Virol
32504944	Implementation of rapid SARS-CoV-2 antigenic testing in a laboratory without access to molecular methods: Experiences of a general hospital.	J Clin Virol
32504943	The utility of beta-2-microglobulin testing as a human cellular control in COVID-19 testing.	J Clin Virol
32504927	Periodontal pockets: A potential reservoir for SARS-CoV-2?	Med Hypotheses
32504925	What would Sergio Ferreira say to your physician in this war against COVID-19: How about kallikrein/kinin system?	Med Hypotheses
32504923	N-Acetylcysteine: A potential therapeutic agent for SARS-CoV-2.	Med Hypotheses
32504823	Patient-Centered, Gynecology-Specific Prioritization of Non-urgent Surgeries During the COVID-19 Pandemic: Proposal of a Novel Scoring System.	J Minim Invasive Gynecol
32504812	Big Data-driven personal protective equipment stockpiling framework under Universal Healthcare for Disease Control and Prevention in the COVID-19 Era.	Int J Surg
32504808	Rapid Systematic Review: The Impact of Social Isolation and Loneliness on the Mental Health of Children and Adolescents in the Context of COVID-19.	J Am Acad Child Adolesc Psychiatry
32504802	Optimizing high-yield production of SARS-CoV-2 soluble spike trimers for serology assays.	Protein Expr Purif
32504767	Ventilation and airway management during Cardiopulmonary Resuscitation in COVID-19 era.	Resuscitation
32504761	Medical Waste Management Practice during the 2019-2020 Novel Coronavirus Pandemic: Experience in a General Hospital.	Am J Infect Control
32504757	Protective role of ACE2 and its downregulation in SARS-CoV-2 infection leading to Macrophage Activation Syndrome: Therapeutic implications.	Life Sci
32504754	Is melatonin deficiency a unifying pathomechanism of high risk patients with COVID-19?	Life Sci
32504751	A novel role of nifuroxazide in attenuation of sepsis-associated acute lung and myocardial injuries; role of TLR4/NLPR3/IL-1beta signaling interruption.	Life Sci
32504748	Temperature-dependent surface stability of SARS-CoV-2.	J Infect
32504747	Cardiovascular complications in COVID-19: A systematic review and meta-analysis.	J Infect
32504746	SARS-CoV-2 RNA detection in tears and conjunctival secretions of COVID-19 patients with conjunctivitis.	J Infect
32504745	High SARS-CoV-2 Antibody Prevalence among Healthcare Workers Exposed to COVID-19 Patients.	J Infect
32504743	SARS-CoV-2 infection, clinical features and outcome of COVID-19 in United Kingdom nursing homes.	J Infect
32504742	Is the conclusion available? Letter to the Editor concerning the study of Prof. Jin titled "Clinical features and outcomes of pregnant women suspected of coronavirus disease 2019".	J Infect
32504741	Does type of immunosupression influence the course of Covid-19 infection?	J Infect
32504740	Comparison of SARS-CoV-2 detection in nasopharyngeal swab and saliva.	J Infect
32504739	Interleukin-17: a potential therapeutic target in COVID-19.	J Infect
32504736	Tumor biomarkers predict clinical outcome of COVID-19 patients.	J Infect
32504735	Detection of SARS-CoV-2 antibodies using commercial assays and seroconversion patterns in hospitalized patients.	J Infect
32504722	Considerations for Underrepresented in Medicine Dermatology Residency Applicants Amidst the COVID-19 Pandemic.	J Am Acad Dermatol
32504688	Impact of the COVID-19 Pandemic on the Urology Residency Match in Singapore.	Urology
32504680	Surgical precautions for Urologists in the era of COVID-19.	Urology
32504678	Concerns in redirecting uro-oncologic patients during COVID-19 pandemic.	Urology
32504660	The Next Wave of Health Care Strain Related to COVID-19: Heart Failure Patients Coming Back in Force: We Must Not Fail Them.	Can J Cardiol
32504637	ELEVATED MONOCYTE DISTRIBUTION WIDTH IN COVID-19 PATIENTS: THE CONTRIBUTION OF THE NOVEL SEPSIS INDICATOR.	Clin Chim Acta
32504623	COVID-19 and heart injury: Appropriate methodology is crucial for assessing the emerging evidence.	Prog Cardiovasc Dis
32504604	Improved safety of endoscopic vessel harvesting during the COVID-19 pandemic.	Ann Thorac Surg
32504552	Telemedicine as a tool for PrEP delivery during the COVID-19 pandemic in a large HIV prevention service in Rio de Janeiro-Brazil.	Braz J Infect Dis
32504543	Expression of concern: Hydroxychloroquine or chloroquine with or without a macrolide for treatment of COVID-19: a multinational registry analysis.	Lancet
32504532	Coronavirus Disease 2019 in Children Cared for at Texas Children's Hospital: Initial Clinical Characteristics and Outcomes.	J Pediatric Infect Dis Soc
32504529	Can the SARS-CoV-2 PCR Cycle Threshold Value and Time from Symptom Onset to Testing Predict Infectivity?	Clin Infect Dis
